Article ID,Document Type GROUPING
8601,FOI
8602,FOI
8604,FOI
8603,FOI
8605,FOI
8607,FOI
7284,
8608,FOI
8606,FOI
8609,FOI
8610,FOI
8611,FOI
8612,FOI
8613,FOI
8614,FOI
8615,FOI
8616,FOI
8617,FOI
8621,FOI
8618,FOI
8620,FOI
8619,FOI
8622,FOI
8625,FOI
8623,FOI
8626,FOI
8764,FOI
8627,FOI
8628,FOI
8629,FOI
8630,FOI
8631,FOI
8632,FOI
8633,FOI
8634,FOI
8635,FOI
8636,FOI
8637,FOI
8638,FOI
8640,FOI
8639,FOI
8642,FOI
8643,FOI
8641,FOI
7661,FOI
7660,FOI
7647,FOI
8644,FOI
8645,FOI
8646,FOI
8648,FOI
8650,FOI
8651,FOI
8649,FOI
1144,Service
1309,
8652,FOI
8654,FOI
8655,FOI
8653,FOI
1183,News article
7631,FOI
1159,News article
7672,FOI
7677,FOI
7686,FOI
7685,FOI
7684,FOI
7683,FOI
7681,FOI
1290,Service
1308,Service
1307,Service
1306,Service
1304,Service
6919,Service
1305,Service
1404,News article
7338,News article
1162,News article
1161,News article
1160,News article
7682,FOI
7680,FOI
7679,FOI
7385,Service
7386,Service
7673,FOI
7671,FOI
7678,FOI
7670,FOI
7668,FOI
7669,FOI
7667,FOI
7666,FOI
7665,FOI
7664,FOI
7663,FOI
7659,FOI
7662,FOI
7658,FOI
7655,FOI
7656,FOI
7657,FOI
7654,FOI
7653,FOI
7652,FOI
7650,FOI
7651,FOI
7649,FOI
7648,FOI
7646,FOI
7644,FOI
7645,FOI
7643,FOI
7642,FOI
7641,FOI
8092,FOI
8084,FOI
7640,FOI
7638,FOI
7639,FOI
7637,FOI
7636,FOI
7635,FOI
7634,FOI
7633,FOI
7632,FOI
7629,FOI
7630,FOI
7628,FOI
7627,FOI
7626,FOI
7625,FOI
8117,FOI
8114,FOI
8118,FOI
8105,FOI
8109,FOI
8108,FOI
8110,FOI
8135,FOI
8134,FOI
8111,FOI
8112,FOI
8113,FOI
8119,FOI
8115,FOI
8120,FOI
8122,FOI
8123,FOI
8124,FOI
8125,FOI
8126,FOI
8127,FOI
8130,FOI
8128,FOI
7293,Person
8129,FOI
8131,FOI
8132,FOI
8133,FOI
8138,FOI
8137,FOI
8107,FOI
8136,FOI
8106,FOI
8104,FOI
1310,Service
1407,Service
1405,Service
1025,Service
822,Service
830,Service
1292,Service
7286,Person
7280,Person
1020,Service
8103,FOI
8102,FOI
7427,News article
8100,FOI
8097,FOI
8099,FOI
8096,FOI
8095,FOI
8101,FOI
8094,FOI
8091,FOI
8093,FOI
8090,FOI
7789,Service
8089,FOI
8088,FOI
8036,FOI
8074,FOI
8087,FOI
8086,FOI
8085,FOI
8082,FOI
8083,FOI
8080,FOI
8081,FOI
8079,FOI
8077,FOI
8076,FOI
8078,FOI
8075,FOI
7624,FOI
8656,FOI
8658,FOI
8659,FOI
8657,FOI
7281,Person
